"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050673","BP","GO:0050673","epithelial cell proliferation","26/512","471/29008",3.7791440938492e-07,7.9326822504951e-05,5.93844703428708e-05,"Sgpp2/Scg2/Twist2/Irf6/Eng/Thbs1/Bmp2/Gdf5/Ghsr/Il12a/Nr4a3/Epha2/Areg/Prok2/Zfp36/Mst1/Tnfaip3/Lgr5/Ern1/Six4/Esr2/Fst/Fgf10/Cldn1/Vegfa/Apln",26
"GO:0032890","BP","GO:0032890","regulation of organic acid transport","11/512","87/29008",3.89195000085614e-07,7.9326822504951e-05,5.93844703428708e-05,"Rgs4/Thbs1/Ntsr1/Trh/P2ry2/Irs2/Htr1b/Arg2/Syk/Syt4/Htr2c",11
"GO:0060259","BP","GO:0060259","regulation of feeding behavior","8/512","40/29008",4.17572101456127e-07,7.9326822504951e-05,5.93844703428708e-05,"Ghsr/Nr4a3/Lepr/Nmu/Trh/Esr2/Mchr1/Mc4r",8
"GO:0050890","BP","GO:0050890","cognition","22/512","354/29008",4.18982055424951e-07,7.9326822504951e-05,5.93844703428708e-05,"Ptgs2/Nr4a2/Bdnf/Lrrn4/Ntsr1/Crh/Ghsr/Ngf/Tac1/Hrh1/Ntf5/Drd4/Tpbg/Tacr2/Nts/Esr2/Htr2a/Adcy8/Itga5/Syt4/Rtl4/Ptchd1",22
"GO:0033555","BP","GO:0033555","multicellular organismal response to stress","12/512","107/29008",4.36591748651321e-07,7.9326822504951e-05,5.93844703428708e-05,"Nr4a2/Bdnf/Thbs1/Crh/Penk/Tac1/Lpar5/Drd4/Hdac5/Esr2/Adcyap1/Htr2c",12
"GO:0001655","BP","GO:0001655","urogenital system development","23/512","385/29008",4.58237476444893e-07,7.97906005859669e-05,5.97316570172904e-05,"Kif26b/Cd44/Bdnf/Fbn1/Bmp2/Tiparp/Heyl/Slit2/Gpr4/Sim1/Arid5b/Lgr5/Myocd/Hdac5/Cys1/Six4/Esr2/Arg2/Fgf10/Gdnf/Adamts1/Vegfa/Gcnt1",23
"GO:0035914","BP","GO:0035914","skeletal muscle cell differentiation","11/512","89/29008",4.91683003299525e-07,8.21897308315486e-05,6.15276583497342e-05,"Atf3/Heyl/Arntl/Sap30/Plagl1/Egr2/Myocd/Six4/Fos/Asb2/Maff",11
"GO:1903532","BP","GO:1903532","positive regulation of secretion by cell","22/512","361/29008",5.82865287606563e-07,9.36843860349164e-05,7.01326167921743e-05,"Nppc/Bmp2/Ntsr1/Crh/Lepr/Nmu/Tac1/Trh/P2ry2/Irs2/Exph5/Tacr2/Tgfb3/Syk/Pcsk1/Cartpt/Adcy8/Adcyap1/Syt4/Galr1/Apln/Htr2c",22
"GO:0048511","BP","GO:0048511","rhythmic process","20/512","307/29008",6.73751524655539e-07,0.000104281763760574,7.80658686657412e-05,"Bdnf/Ngf/Lepr/Nmu/Prok2/Hrh1/Arntl/Drd4/Hcrtr2/Atoh7/Egr2/Per1/Esr2/Inhba/Nfil3/Cartpt/Adamts1/Sik1/Crem/Rorb",20
"GO:0048660","BP","GO:0048660","regulation of smooth muscle cell proliferation","15/512","178/29008",7.01505628473137e-07,0.000104699715049616,7.83787491662468e-05,"Ptgs2/Thbs1/Bmp2/Il12a/Nr4a3/Drd4/Htr1b/Tnfaip3/Myocd/Ern1/Esr2/Tgfb3/Adamts1/Vegfa/Apln",15
"GO:0090257","BP","GO:0090257","regulation of muscle system process","18/512","255/29008",7.6891098763051e-07,0.000110802724734755,8.29474938380354e-05,"Nppc/Ptgs2/Rgs4/Ghsr/Nr4a3/Trim63/Nmu/Chrm2/Prok2/Kbtbd13/Mlip/Tacr2/Pawr/Myocd/Kcnj2/Sstr2/Arg2/Stc1",18
"GO:0048659","BP","GO:0048659","smooth muscle cell proliferation","15/512","184/29008",1.0688374099924e-06,0.000148889051211942,0.000111459115175348,"Ptgs2/Thbs1/Bmp2/Il12a/Nr4a3/Drd4/Htr1b/Tnfaip3/Myocd/Ern1/Esr2/Tgfb3/Adamts1/Vegfa/Apln",15
"GO:0043114","BP","GO:0043114","regulation of vascular permeability","8/512","47/29008",1.53215042363887e-06,0.000206543761947962,0.000154619730358395,"Slit2/Hrh1/Gpr4/Adm/Tacr2/Ocln/Cldn5/Vegfa",8
"GO:0050795","BP","GO:0050795","regulation of behavior","11/512","101/29008",1.76944087551786e-06,0.000231077919337161,0.000172986127698654,"Crh/Ghsr/Penk/Nr4a3/Lepr/Nmu/Trh/Htr1b/Esr2/Mchr1/Mc4r",11
"GO:0090287","BP","GO:0090287","regulation of cellular response to growth factor stimulus","19/512","299/29008",1.84753531431681e-06,0.000233965153894848,0.000175147526448152,"Eng/Thbs1/Fbn1/Bmp2/Gdf5/Il12a/Hjv/Ngf/Slit2/Tgfbr3l/Myocd/Tgfb3/Fst/Fgf10/Il17rd/Shisa2/Smoc2/Onecut2/Apln",19
"GO:0002040","BP","GO:0002040","sprouting angiogenesis","12/512","123/29008",1.96372910791959e-06,0.000241365410058705,0.000180687396555326,"Ptgs2/Thbs1/Ghsr/Il12a/Epha2/Slit2/Adamts9/Rspo3/Hdac5/Esm1/Itga5/Vegfa",12
"GO:0007517","BP","GO:0007517","muscle organ development","21/512","360/29008",2.10525055840971e-06,0.00025136691667412,0.000188174576228381,"Atf3/Eng/Bdnf/Bmp2/Heyl/Nphs1/Chd2/Arntl/Fgf3/Sap30/Plagl1/Egr2/Arid5b/Myocd/Hdac5/Six4/Fos/Asb2/Maff/Mkx/Tll2",21
"GO:0045987","BP","GO:0045987","positive regulation of smooth muscle contraction","7/512","35/29008",2.24495494033388e-06,0.000254040147521982,0.000190175770691888,"Ptgs2/Ghsr/Nmu/Prok2/Tacr2/Pawr/Myocd",7
"GO:0007189","BP","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","13/512","147/29008",2.24921882228125e-06,0.000254040147521982,0.000190175770691888,"Gpr4/Akap13/Adm/Calcb/Lpar2/Lgr5/Adcy8/Adm2/Pde10a/Adcyap1/Mc4r/Galr1/Gpr101",13
"GO:0006874","BP","GO:0006874","cellular calcium ion homeostasis","25/512","490/29008",2.6101713316536e-06,0.000286647614329845,0.000214585889293157,"Cd40/Ntsr1/Ngf/Nmu/Tac1/Cd4/Gpr4/P2ry2/Adm/Calcb/Slc10a7/Atp2c2/Hcrtr2/Ackr2/Cdh23/Pawr/Trpv3/Scgn/Stc1/Htr2a/Adcy8/Mchr1/Adcyap1/Galr1/Htr2c",25
"GO:0043405","BP","GO:0043405","regulation of MAP kinase activity","15/512","198/29008",2.67510336416941e-06,0.000286647614329845,0.000214585889293157,"Lax1/Thbs1/Bmp2/Trib3/Cd40/Trp73/Akap13/Drd4/Kitl/Irak3/Ern1/Syk/Htr2a/Dusp1/Vegfa",15
"GO:0003018","BP","GO:0003018","vascular process in circulatory system","16/512","234/29008",4.72747863904393e-06,0.000483854001653323,0.000362215612627971,"Ptgs2/Slit2/Hrh1/Gpr4/P2ry2/Adm/Htr1b/Tacr2/Esr2/Ocln/Htr2a/Cldn5/Vegfa/Adcyap1/Apln/Htr2c",16
"GO:0090596","BP","GO:0090596","sensory organ morphogenesis","19/512","319/29008",4.74707204302135e-06,0.000483854001653323,0.000362215612627971,"Cnga3/Gbx2/Bdnf/Bhlhe23/Nr4a3/Grhl3/Epha2/Kdm2b/Aldh1a3/Fgf3/Gnat1/Cdh23/Six4/Dio3/Fgf10/Zhx2/Vegfa/Pou4f3/Rorb",19
"GO:0007613","BP","GO:0007613","memory","13/512","158/29008",5.01373058216125e-06,0.000498866192925044,0.000373453816796572,"Ptgs2/Bdnf/Lrrn4/Ngf/Tac1/Hrh1/Ntf5/Drd4/Htr2a/Adcy8/Itga5/Syt4/Ptchd1",13
"GO:0048732","BP","GO:0048732","gland development","24/512","477/29008",5.22833268707257e-06,0.0005081209837041,0.000380382001125574,"Irf6/Lhx3/Cd44/Bmp2/Pax1/Crh/Epha2/Slit2/Areg/Aldh1a3/Mesp1/Fgf3/Irs2/Atp2c2/Mst1/Tnfaip3/Edar/Arid5b/Six4/Esr2/Tgfb3/Fgf10/Vegfa/Onecut2",24
"GO:0048762","BP","GO:0048762","mesenchymal cell differentiation","16/512","237/29008",5.56062095935044e-06,0.000526904074643514,0.000394443120323554,"Gbx2/Eng/Bmp2/Heyl/Radil/Tgfbr3l/Kitl/Pawr/Myocd/Col1a1/Tgfb3/Fgf10/Il17rd/Gdnf/Epha3/Vegfa",16
"GO:0051047","BP","GO:0051047","positive regulation of secretion","22/512","415/29008",5.6737696479919e-06,0.000526904074643514,0.000394443120323554,"Nppc/Bmp2/Ntsr1/Crh/Lepr/Nmu/Tac1/Trh/P2ry2/Irs2/Exph5/Tacr2/Tgfb3/Syk/Pcsk1/Cartpt/Adcy8/Adcyap1/Syt4/Galr1/Apln/Htr2c",22
"GO:0051480","BP","GO:0051480","regulation of cytosolic calcium ion concentration","21/512","386/29008",6.21902290837351e-06,0.000536587141534245,0.00040169191436878,"Ntsr1/Ngf/Nmu/Tac1/Cd4/Gpr4/P2ry2/Adm/Calcb/Hcrtr2/Ackr2/Cdh23/Pawr/Trpv3/Scgn/Htr2a/Adcy8/Mchr1/Adcyap1/Galr1/Htr2c",21
"GO:0051091","BP","GO:0051091","positive regulation of DNA-binding transcription factor activity","17/512","267/29008",6.23211957139403e-06,0.000536587141534245,0.00040169191436878,"Bdnf/Bmp2/Cd40/Ngf/Lpar5/Trim34a/Arid5b/Irak3/Myocd/Hdac5/Ifrd1/Esr2/Abra/Adcy8/Ripk4/Vegfa/Fosl1",17
"GO:2000252","BP","GO:2000252","negative regulation of feeding behavior","5/512","16/29008",6.24772595195457e-06,0.000536587141534245,0.00040169191436878,"Lepr/Nmu/Trh/Esr2/Mc4r",5
"GO:0070372","BP","GO:0070372","regulation of ERK1 and ERK2 cascade","19/512","326/29008",6.47929567568167e-06,0.000536587141534245,0.00040169191436878,"Atf3/Cd44/Bmp2/Ngf/Epha2/Cd4/Pde8a/Dusp4/Tpbg/Alkal2/Esr2/Btn2a2/Syk/Fgf10/Htr2a/Dusp1/Vegfa/Adcyap1/Htr2c",19
"GO:0042303","BP","GO:0042303","molting cycle","12/512","138/29008",6.54844322044663e-06,0.000536587141534245,0.00040169191436878,"Ptgs2/Lncpint/Arntl/Barx2/Mpzl3/Edar/Lgr5/Per1/Trpv3/Inhba/Fst/Fgf10",12
"GO:0042633","BP","GO:0042633","hair cycle","12/512","138/29008",6.54844322044663e-06,0.000536587141534245,0.00040169191436878,"Ptgs2/Lncpint/Arntl/Barx2/Mpzl3/Edar/Lgr5/Per1/Trpv3/Inhba/Fst/Fgf10",12
"GO:0001822","BP","GO:0001822","kidney development","19/512","327/29008",6.76855749048301e-06,0.000543957726014009,0.000407209572099504,"Kif26b/Cd44/Bdnf/Fbn1/Bmp2/Tiparp/Heyl/Slit2/Gpr4/Sim1/Arid5b/Cys1/Six4/Arg2/Fgf10/Gdnf/Adamts1/Vegfa/Gcnt1",19
"GO:0006939","BP","GO:0006939","smooth muscle contraction","11/512","117/29008",7.49949575833376e-06,0.000572799486750939,0.000428800663624839,"Ptgs2/Ghsr/Nmu/Chrm2/Prok2/Tacr2/Pawr/Myocd/Sstr2/Htr2a/Gdnf",11
"GO:0044070","BP","GO:0044070","regulation of anion transport","11/512","117/29008",7.49949575833376e-06,0.000572799486750939,0.000428800663624839,"Rgs4/Ntsr1/Trh/P2ry2/Htr1b/Arg2/Syk/Stc1/Syt4/Gabre/Htr2c",11
"GO:0006937","BP","GO:0006937","regulation of muscle contraction","13/512","164/29008",7.53863885410425e-06,0.000572799486750939,0.000428800663624839,"Ptgs2/Ghsr/Nmu/Chrm2/Prok2/Kbtbd13/Tacr2/Pawr/Myocd/Kcnj2/Sstr2/Arg2/Stc1",13
"GO:0051090","BP","GO:0051090","regulation of DNA-binding transcription factor activity","22/512","425/29008",8.25516559213346e-06,0.000616041732312959,0.000461172032703396,"Bdnf/Bmp2/Cd40/Ngf/Heyl/Lpar5/Trim34a/Tnfaip3/Arid5b/Irak3/Myocd/Hdac5/Cys1/Ifrd1/Esr2/Syk/Abra/Adcy8/Ripk4/Sik1/Vegfa/Fosl1",22
"GO:0048521","BP","GO:0048521","negative regulation of behavior","6/512","29/29008",9.87784168297335e-06,0.000724201761283257,0.000542141190799571,"Ghsr/Lepr/Nmu/Trh/Esr2/Mc4r",6
"GO:0007623","BP","GO:0007623","circadian rhythm","15/512","222/29008",1.07496347418152e-05,0.000774529717000786,0.000579816959213696,"Bdnf/Ngf/Lepr/Nmu/Prok2/Arntl/Drd4/Hcrtr2/Atoh7/Per1/Nfil3/Cartpt/Sik1/Crem/Rorb",15
"GO:1904705","BP","GO:1904705","regulation of vascular associated smooth muscle cell proliferation","8/512","61/29008",1.15586895215972e-05,0.000818707856114486,0.000612888943054182,"Nr4a3/Drd4/Htr1b/Myocd/Ern1/Tgfb3/Adamts1/Apln",8
"GO:0019233","BP","GO:0019233","sensory perception of pain","12/512","147/29008",1.24961957862316e-05,0.000870360036511032,0.000651556032924217,"Ptgs2/Ntsr1/Ngf/Penk/Nmu/Tac1/Tafa4/P2ry2/Pawr/Htr2a/Adcyap1/Htr2c",12
"GO:1990874","BP","GO:1990874","vascular associated smooth muscle cell proliferation","8/512","62/29008",1.3068021541597e-05,0.000895266590530064,0.000670201208311066,"Nr4a3/Drd4/Htr1b/Myocd/Ern1/Tgfb3/Adamts1/Apln",8
"GO:0033002","BP","GO:0033002","muscle cell proliferation","16/512","255/29008",1.39386240558492e-05,0.000939508224667639,0.000703320724855411,"Ptgs2/Thbs1/Bmp2/Il12a/Nr4a3/Trp73/Drd4/Htr1b/Tnfaip3/Myocd/Ern1/Esr2/Tgfb3/Adamts1/Vegfa/Apln",16
"GO:0007519","BP","GO:0007519","skeletal muscle tissue development","14/512","201/29008",1.495835208647e-05,0.000992237355069178,0.000742794025079179,"Atf3/Heyl/Nphs1/Arntl/Sap30/Plagl1/Egr2/Myocd/Hdac5/Six4/Fos/Asb2/Maff/Tll2",14
"GO:0001657","BP","GO:0001657","ureteric bud development","10/512","104/29008",1.59316595414237e-05,0.00100876371550924,0.000755165744132557,"Kif26b/Cd44/Bdnf/Bmp2/Slit2/Sim1/Six4/Arg2/Gdnf/Vegfa",10
"GO:0072163","BP","GO:0072163","mesonephric epithelium development","10/512","104/29008",1.59316595414237e-05,0.00100876371550924,0.000755165744132557,"Kif26b/Cd44/Bdnf/Bmp2/Slit2/Sim1/Six4/Arg2/Gdnf/Vegfa",10
"GO:0072164","BP","GO:0072164","mesonephric tubule development","10/512","104/29008",1.59316595414237e-05,0.00100876371550924,0.000755165744132557,"Kif26b/Cd44/Bdnf/Bmp2/Slit2/Sim1/Six4/Arg2/Gdnf/Vegfa",10
"GO:0070371","BP","GO:0070371","ERK1 and ERK2 cascade","19/512","349/29008",1.69070750749396e-05,0.00105454726474885,0.0007894395463114,"Atf3/Cd44/Bmp2/Ngf/Epha2/Cd4/Pde8a/Dusp4/Tpbg/Alkal2/Esr2/Btn2a2/Syk/Fgf10/Htr2a/Dusp1/Vegfa/Adcyap1/Htr2c",19
"GO:0030216","BP","GO:0030216","keratinocyte differentiation","11/512","128/29008",1.7679480031474e-05,0.0010812132605633,0.000809401848942492,"Ptgs2/Opn3/Irf6/Sprr2f/Epha2/Fosl2/Zfp36/Pou2f3/Exph5/Madcam1/Pnpla1",11
"GO:0048608","BP","GO:0048608","reproductive structure development","23/512","480/29008",1.78520495283245e-05,0.0010812132605633,0.000809401848942492,"Etnk2/Ptgs2/Lhx3/Cd44/Kif18a/Spint1/Ghsr/Tiparp/Adm/Rspo3/Arid5b/Kitl/Myocd/Six4/Esr2/Inhba/Fst/Fgf10/Adamts1/Vegfa/Adcyap1/Fosl1/Insl6",23
"GO:0048705","BP","GO:0048705","skeletal system morphogenesis","16/512","261/29008",1.85704357247612e-05,0.00110865501276824,0.000829944886826921,"Col9a1/Nppc/Twist2/Thbs1/Pax1/Tiparp/Acan/Barx2/Csrnp1/Col10a1/Arid5b/Col1a1/Six4/Tgfb3/Stc1/Vegfa",16
"GO:2000243","BP","GO:2000243","positive regulation of reproductive process","10/512","106/29008",1.88424595004177e-05,0.00110905124298937,0.000830241506823445,"Tac1/Meiosin/P2ry2/Drd4/Tacr2/Glra1/Inhba/Ankrd31/Npm2/Vegfa",10
"GO:0061458","BP","GO:0061458","reproductive system development","23/512","484/29008",2.03383784747131e-05,0.00117135539825688,0.000876882720272906,"Etnk2/Ptgs2/Lhx3/Cd44/Kif18a/Spint1/Ghsr/Tiparp/Adm/Rspo3/Arid5b/Kitl/Myocd/Six4/Esr2/Inhba/Fst/Fgf10/Adamts1/Vegfa/Adcyap1/Fosl1/Insl6",23
"GO:0001823","BP","GO:0001823","mesonephros development","10/512","107/29008",2.04615802997732e-05,0.00117135539825688,0.000876882720272906,"Kif26b/Cd44/Bdnf/Bmp2/Slit2/Sim1/Six4/Arg2/Gdnf/Vegfa",10
"GO:0007178","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","20/512","387/29008",2.16025447449143e-05,0.00121995992552698,0.000913268321221696,"Eng/Thbs1/Fbn1/Bmp2/Gdf5/Hjv/Lrrc32/Tgfbr3l/Myocd/Fos/Tgfb3/Inhba/Fst/Fgf10/Il17rd/Gdf10/Gdnf/Cldn5/Tgif1/Onecut2",20
"GO:0009913","BP","GO:0009913","epidermal cell differentiation","14/512","210/29008",2.44084344573664e-05,0.00136003796796446,0.00101813146957604,"Ptgs2/Opn3/Irf6/Sprr2f/Epha2/Fosl2/Zfp36/Pou2f3/Exph5/Cdh23/Madcam1/Maff/Pnpla1/Pou4f3",14
"GO:0007187","BP","GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","7/512","50/29008",2.65353414622249e-05,0.00145549174387922,0.0010895886608,"Chrm2/Hrh1/Drd4/Htr1b/Gnat1/Htr2a/Htr2c",7
"GO:0060538","BP","GO:0060538","skeletal muscle organ development","14/512","212/29008",2.71111097651463e-05,0.00145549174387922,0.0010895886608,"Atf3/Heyl/Nphs1/Arntl/Sap30/Plagl1/Egr2/Myocd/Hdac5/Six4/Fos/Asb2/Maff/Tll2",14
"GO:0009791","BP","GO:0009791","post-embryonic development","11/512","134/29008",2.71663929223687e-05,0.00145549174387922,0.0010895886608,"Nppc/Etnk2/Nr4a2/Gnasas1/Bhlhe23/Tiparp/Trp73/Csrnp1/Cdh23/Arid5b/Vegfa",11
"GO:0008344","BP","GO:0008344","adult locomotory behavior","10/512","111/29008",2.81896768403677e-05,0.00148313413135763,0.0011102818952897,"Nr4a2/Ntsr1/Ngf/Dmbx1/Trh/Ntf5/Drd4/Cdh23/Glra1/Klhl1",10
"GO:0007179","BP","GO:0007179","transforming growth factor beta receptor signaling pathway","13/512","186/29008",2.89341333862685e-05,0.00148313413135763,0.0011102818952897,"Eng/Thbs1/Fbn1/Bmp2/Lrrc32/Tgfbr3l/Myocd/Fos/Tgfb3/Il17rd/Gdnf/Cldn5/Onecut2",13
"GO:0006940","BP","GO:0006940","regulation of smooth muscle contraction","8/512","69/29008",2.90131183370849e-05,0.00148313413135763,0.0011102818952897,"Ptgs2/Ghsr/Nmu/Chrm2/Prok2/Tacr2/Pawr/Myocd",8
"GO:0042692","BP","GO:0042692","muscle cell differentiation","21/512","428/29008",2.91019379687308e-05,0.00148313413135763,0.0011102818952897,"Lmod1/Rgs4/Eng/Bdnf/Bmp2/Prok2/Nphs1/Akap13/Mesp1/Adm/Barx2/Xirp1/Myocd/Hdac5/Ifrd1/Six4/Asb2/Fgf10/Sik1/Vegfa/Nrap",21
"GO:0045933","BP","GO:0045933","positive regulation of muscle contraction","7/512","51/29008",3.0292880607001e-05,0.00152522828983924,0.00114179380043129,"Ptgs2/Ghsr/Nmu/Prok2/Tacr2/Pawr/Myocd",7
"GO:0048662","BP","GO:0048662","negative regulation of smooth muscle cell proliferation","8/512","70/29008",3.22563195478019e-05,0.00159092612385738,0.00119097553937712,"Bmp2/Il12a/Drd4/Tnfaip3/Myocd/Esr2/Tgfb3/Apln",8
"GO:0001659","BP","GO:0001659","temperature homeostasis","13/512","188/29008",3.23591099612054e-05,0.00159092612385738,0.00119097553937712,"Ptgs2/Ntsr1/Lepr/Nmu/Plac8/Ksr2/Arntl/Syk/Ebf2/Htr2a/Vegfa/Adcyap1/Apln",13
"GO:0051955","BP","GO:0051955","regulation of amino acid transport","7/512","52/29008",3.44771574397804e-05,0.00167534931326561,0.00125417517638956,"Rgs4/Ntsr1/Trh/Htr1b/Arg2/Syt4/Htr2c",7
"GO:0010717","BP","GO:0010717","regulation of epithelial to mesenchymal transition","9/512","93/29008",4.00947992088159e-05,0.00192593294130622,0.00144176337868845,"Eng/Bmp2/Pawr/Myocd/Col1a1/Tgfb3/Il17rd/Epha3/Vegfa",9
