"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name","refseq","ensembl"
"Uxs1",1296.84711192921,0.32543592679923,0.110666904908157,2.94067975488526,0.00327492922780081,0.0354264169642262,"Uxs1","67883","UDP-glucuronate decarboxylase 1","NM_001368287","ENSMUSG00000057363"
"Tmeff2",1853.67936011101,0.431794927797015,0.0698635457196313,6.18054699842815,6.38798749321423e-10,1.41485937990329e-07,"Tmeff2","56363","transmembrane protein with EGF-like and two follistatin-like domains 2","NM_019790","ENSMUSG00000026109"
"Mfsd6",3850.69454098804,0.302148403337736,0.118549792074172,2.54870462487775,0.010812383475707,0.0791671995066329,"Mfsd6","98682","major facilitator superfamily domain containing 6","NM_001357464","ENSMUSG00000041439"
"Inpp1",824.641489835227,0.272196416480554,0.109397299699178,2.48814566016751,0.0128411127738205,0.0887063069159162,"Inpp1","16329","inositol polyphosphate-1-phosphatase","NM_008384","ENSMUSG00000026102"
"1700019D03Rik",398.487813972534,0.744446449861662,0.219186805742719,3.39640174662472,0.00068278065132331,0.011099257211741,"1700019D03Rik","67080","RIKEN cDNA 1700019D03 gene","NM_001368274","ENSMUSG00000043629"
"Ankrd44",324.322990757821,0.443241510064631,0.151937936894936,2.91725370979026,0.0035312840717359,0.0372445371827907,"Ankrd44","329154","ankyrin repeat domain 44","NM_001081433","ENSMUSG00000052331"
"Hspd1",6360.9284651179,0.365239513518362,0.141529158642738,2.58066618229772,0.00986098826617626,0.0746058288165573,"Hspd1","15510","heat shock protein 1 (chaperonin)","NM_001356512","ENSMUSG00000025980"
"Rftn2",710.597104546501,-0.433630207042295,0.0992593645706012,-4.36865789860927,1.25012415780272e-05,0.00051633915972276,"Rftn2","74013","raftlin family member 2","NM_001356287","ENSMUSG00000025978"
"Aox1",395.951881319049,-0.647162146026438,0.113509495647478,-5.70139213759087,1.18832918111998e-08,1.50400034001892e-06,"Aox1","11761","aldehyde oxidase 1","NM_009676","ENSMUSG00000063558"
"Raph1",4060.92545975124,0.330407981928147,0.112615272027584,2.93395359243299,0.00334674243837028,0.0359243060548059,"Raph1","77300","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1","NM_001045513","ENSMUSG00000026014"
"Fastkd2",339.235713443629,0.284986040309572,0.101056826488185,2.82005729066598,0.00480150762013485,0.0460378319919748,"Fastkd2","75619","FAST kinase domains 2","NM_172422","ENSMUSG00000025962"
"Fn1",1593.34461374751,2.2771163260594,0.242284731142844,9.39851353949696,5.53393198607006e-21,1.40079629801679e-17,"Fn1","14268","fibronectin 1","NM_001276408","ENSMUSG00000026193"
"Mreg",198.853503366495,-0.513274570497344,0.148679171803212,-3.45222914731259,0.000555975347640179,0.00946333062904546,"Mreg","381269","melanoregulin","NM_001005423","ENSMUSG00000039395"
"Marchf4",2763.70201643591,0.21418503216198,0.0481898134356392,4.44461218859124,8.80505518067811e-06,0.000382394050849106,"Marchf4","381270","membrane associated ring-CH-type finger 4","NM_001045533","ENSMUSG00000039372"
"Igfbp5",5271.17730128653,-0.560870453937838,0.0919972964395516,-6.09659713539917,1.08350121835792e-09,2.15714135821167e-07,"Igfbp5","16011","insulin-like growth factor binding protein 5","NM_010518","ENSMUSG00000026185"
"Pnkd",3983.87361651813,-0.257432007291935,0.0824138668257519,-3.12364917710056,0.00178623292441957,0.0227209340903018,"Pnkd","56695","paroxysmal nonkinesiogenic dyskinesia","NM_001039509","ENSMUSG00000026179"
"Slc11a1",30.1964864490869,-0.94126644359268,0.283938209900896,-3.31503971910373,0.000916301040284623,0.0138084057705605,"Slc11a1","18173","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1","NM_013612","ENSMUSG00000026177"
"Ctdsp1",278.745147860586,-0.339256792694228,0.136765056241485,-2.48058094675299,0.0131168477601656,0.0898405200859582,"Ctdsp1","227292","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1","NM_153088","ENSMUSG00000026176"
"Plcd4",552.655879487531,-0.300787973053388,0.0903047135753882,-3.33081143989548,0.000865932372506399,0.0132271169900352,"Plcd4","18802","phospholipase C, delta 4","NM_001081456","ENSMUSG00000026173"
"Slc23a3",28.2006752262017,1.11748734089217,0.266541921004217,4.19253878219961,2.75849905612338e-05,0.000989430056183201,"Slc23a3","22626","solute carrier family 23 (nucleobase transporters), member 3","NM_194333","ENSMUSG00000026205"
"Atg9a",5995.03629932058,-0.254432529083227,0.090022129422998,-2.8263331551256,0.00470842653744263,0.0454515537080182,"Atg9a","245860","autophagy related 9A","NM_001003917","ENSMUSG00000033124"
"Dnajb2",2446.28869557774,-0.211532489920371,0.0866216466195632,-2.4420280400511,0.01460501219873,0.0962030524718573,"Dnajb2","56812","DnaJ heat shock protein family (Hsp40) member B2","NM_001159883","ENSMUSG00000026203"
"Resp18",456.107095772904,0.460290396717052,0.0917875150010648,5.01473862443833,5.31056076634875e-07,3.67160128031958e-05,"Resp18","19711","regulated endocrine-specific protein 18","NM_009049","ENSMUSG00000033061"
"Speg",7385.93085681202,-0.255945524955925,0.0922569776096707,-2.77426739513192,0.00553261827524374,0.0503951809958172,"Speg","11790","SPEG complex locus","NM_001085370","ENSMUSG00000026207"
"Asic4",967.744674260073,-0.297981592121759,0.094859693519575,-3.14128773840354,0.00168206686738459,0.021797985264478,"Asic4","241118","acid-sensing (proton-gated) ion channel family member 4","NM_183022","ENSMUSG00000033007"
"Gm2102",26.125315271808,1.06979751167024,0.271984543198272,3.93330260275261,8.37866496636389e-05,0.0022840240698308,"Gm2102","100039210","predicted gene 2102","NM_001378660",NA
"Sgpp2",78.6749874869378,0.741310787814792,0.222517473460202,3.33147224929002,0.000863879127902238,0.0132071391434855,"Sgpp2","433323","sphingosine-1-phosphate phosphatase 2","NM_001004173","ENSMUSG00000032908"
"Utp14b",961.776140107923,0.577745469564477,0.21889217164879,2.63940672346868,0.00830512744798022,0.0666478954940043,"Utp14b","195434","UTP14B small subunit processome component","NM_001001981","ENSMUSG00000079470"
"Scg2",36095.8844369937,0.517823874367967,0.139020249287429,3.7248089902166,0.000195463165691211,0.00431236330302417,"Scg2","20254","secretogranin II","NM_001310680","ENSMUSG00000050711"
"Rhbdd1",527.399026201464,0.423515095625056,0.0923313781661059,4.58690321791953,4.49869096623613e-06,0.000222039847439382,"Rhbdd1","76867","rhomboid domain containing 1","NM_001122685","ENSMUSG00000026142"
"Itm2c",11829.5679601641,-0.315908908502459,0.0962665915455363,-3.28160479591746,0.00103218161213838,0.0149911688405573,"Itm2c","64294","integral membrane protein 2C","NM_022417","ENSMUSG00000026223"
"Psmd1",9143.31527280235,0.178269535842098,0.0507047666537222,3.5158338674459,0.000438375199625848,0.00789184229843119,"Psmd1","70247","proteasome (prosome, macropain) 26S subunit, non-ATPase, 1","NM_027357","ENSMUSG00000026229"
"B3gnt7",117.196398570907,-0.652239908254323,0.163179737477536,-3.99706433125076,6.41328765382818e-05,0.00186027788193508,"B3gnt7","227327","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","NM_145222","ENSMUSG00000079445"
"Efhd1",55.1267691019093,-1.0033213281914,0.200772322786702,-4.99730896303529,5.81358842330948e-07,3.96196051048541e-05,"Efhd1","98363","EF hand domain containing 1","NM_028889","ENSMUSG00000026255"
"Trpm8",9.11346768583495,-1.40717539362011,0.416285806878181,-3.38031076334989,0.000724039145413203,0.011548776664551,"Trpm8","171382","transient receptor potential cation channel, subfamily M, member 8","NM_134252","ENSMUSG00000036251"
"Arl4c",2739.447943168,0.25989018773539,0.0569978731791319,4.55964711031605,5.12396519177803e-06,0.0002434089523676,"Arl4c","320982","ADP-ribosylation factor-like 4C","NM_177305","ENSMUSG00000049866"
"Gbx2",13.3297846162647,-1.10552981897172,0.395149306272881,-2.79775214437113,0.00514595843861781,0.0480799124058647,"Gbx2","14472","gastrulation brain homeobox 2","NM_010262","ENSMUSG00000034486"
"Ramp1",4920.79400705331,-0.378345290107705,0.099866452420075,-3.78851236765921,0.000151552049581269,0.00355481992924623,"Ramp1","51801","receptor (calcitonin) activity modifying protein 1","NM_001168392","ENSMUSG00000034353"
"Hes6",479.905686306058,-0.262878730097564,0.104839988891964,-2.50742806133313,0.0121613333913322,0.0857356085455193,"Hes6","55927","hairy and enhancer of split 6","NM_001360899","ENSMUSG00000067071"
"Per2",2714.38708490084,-0.346109066905007,0.0857375827575414,-4.03684190495286,5.4175549978754e-05,0.00164372700355059,"Per2","18627","period circadian clock 2","NM_011066","ENSMUSG00000055866"
"Twist2",85.2949205863848,-1.52580483926661,0.214268421845234,-7.12099723387469,1.07148942647067e-12,5.13127598584696e-10,"Twist2","13345","twist basic helix-loop-helix transcription factor 2","NM_007855","ENSMUSG00000007805"
"Hdac4",6476.94412352019,-0.335217338109782,0.103036610377788,-3.25338087967658,0.00114040527706017,0.0161971860320697,"Hdac4","208727","histone deacetylase 4","NM_207225","ENSMUSG00000026313"
"Sned1",287.457665422404,-0.518624567238558,0.122000295661698,-4.25101074079922,2.12807961083851e-05,0.000803163979983502,"Sned1","208777","sushi, nidogen and EGF-like domains 1","NM_172463","ENSMUSG00000047793"
"Pask",123.414736334664,0.335253972713282,0.12333314919294,2.71827951290547,0.00656223760118174,0.0566786608836106,"Pask","269224","PAS domain containing serine/threonine kinase","NM_080850","ENSMUSG00000026274"
"Neu4",659.07451207125,-0.393583124394026,0.116354436536526,-3.38262240881955,0.000717972731094948,0.0114921037238224,"Neu4","241159","sialidase 4","NM_001310769","ENSMUSG00000034000"
"Slco4c1",31.6886518359409,1.17279757871454,0.467198395485155,2.51027741115563,0.012063634957647,0.0853315560137911,"Slco4c1","227394","solute carrier organic anion transporter family, member 4C1","NM_172658","ENSMUSG00000040693"
"Cdh20",1572.47177977025,0.35242320012341,0.0774897892366573,4.54799533712879,5.4159335274707e-06,0.000254548875791123,"Cdh20","23836","cadherin 20","NM_011800","ENSMUSG00000050840"
"Zcchc2",1851.47296818226,0.234225152953078,0.0819069274247363,2.85965009697508,0.00424108665146021,0.0422891470890397,"Zcchc2","227449","zinc finger, CCHC domain containing 2","NM_001122675","ENSMUSG00000038866"
"Bcl2",593.20390439194,0.403022519178046,0.16031100427921,2.51400408219084,0.0119369052179225,0.0847056562099997,"Bcl2","12043","B cell leukemia/lymphoma 2","NM_009741","ENSMUSG00000057329"
"Kdsr",1365.47693593143,-0.182937781061015,0.06443432071688,-2.83913571254722,0.004523591329365,0.0442104328543951,"Kdsr","70750","3-ketodihydrosphingosine reductase","NM_001316750","ENSMUSG00000009905"
"Serpinb8",246.558639313491,0.869253263799946,0.205461384767125,4.23073788189046,2.32925970128803e-05,0.000863434155797545,"Serpinb8","20725","serine (or cysteine) peptidase inhibitor, clade B, member 8","NM_001159748","ENSMUSG00000026315"
"Gm32810",15.9167486443488,0.992441573802628,0.353271968493087,2.80928480693211,0.0049651700450036,0.0470973490510807,"Gm32810","102635484","predicted gene, 32810","NR_157044",NA
"Tfcp2l1",228.018201798062,-0.812594658453009,0.127680378813767,-6.36428765329908,1.9619814473603e-10,5.26732564632988e-08,"Tfcp2l1","81879","transcription factor CP2-like 1","NM_023755","ENSMUSG00000026380"
"Dbi",3795.49313385239,-0.190365227758533,0.0784843727591655,-2.42551760390162,0.0152865743495274,0.0995405877026722,"Dbi","13167","diazepam binding inhibitor","NM_001037999","ENSMUSG00000026385"
"Celrr",42.0685700018762,-0.584157732015573,0.201400855560753,-2.90047294183097,0.00372600005718719,0.0386766227377269,"Celrr","98452","cerebellum expressed regulatory RNA","NR_038008","ENSMUSG00000097881"
"Insig2",809.368385413395,0.308365904217698,0.106967265794622,2.88280626719732,0.00394149769159543,0.0402368101419767,"Insig2","72999","insulin induced gene 2","NM_001271531","ENSMUSG00000003721"
"Htr5b",33.7526243998451,0.69925579099395,0.24367923956034,2.86957474200751,0.00411024178392015,0.0414900922428855,"Htr5b","15564","5-hydroxytryptamine (serotonin) receptor 5B","NM_010483","ENSMUSG00000050534"
"Lypd1",438.631484968284,-0.508337344767448,0.145432119396281,-3.49535815662773,0.000473426011287656,0.00835167944133727,"Lypd1","72585","Ly6/Plaur domain containing 1","NM_001311089","ENSMUSG00000026344"
"Gm51746",19.1298576514871,0.930178913220894,0.373753094013381,2.48875240933147,0.0128192204756241,0.088624177763396,"Gm51746","115487359","predicted gene, 51746","XR_003948717",NA
"Tmem163",1507.05016857001,0.439779381576242,0.0903977403474129,4.86493777262684,1.14492823484807e-06,6.9955115149217e-05,"Tmem163","72160","transmembrane protein 163","NM_028135","ENSMUSG00000026347"
"Map3k19",257.603781214289,-0.259932055762829,0.105842345214233,-2.45584180165987,0.0140555017172875,0.0939454677210926,"Map3k19","22625","mitogen-activated protein kinase kinase kinase 19","NM_011737","ENSMUSG00000051590"
"Zranb3",312.611772605991,0.289809798731838,0.110324783857224,2.62687846374477,0.0086172105924861,0.0684532287204657,"Zranb3","226409","zinc finger, RAN-binding domain containing 3","NM_001285945","ENSMUSG00000036086"
"Mcm6",445.6227250884,0.228460431316275,0.0933458099494747,2.44746316347712,0.0143865830383574,0.0954622376066187,"Mcm6","17219","minichromosome maintenance complex component 6","NM_001313695","ENSMUSG00000026355"
"AA986860",163.215607442976,-0.324214297761226,0.115781693164276,-2.80022073352491,0.00510676732947052,0.0478178459584533,"AA986860","212439","expressed sequence AA986860","NM_177604","ENSMUSG00000042510"
"Srgap2",5777.1635922556,0.285877051179542,0.0564254265004023,5.06645795893991,4.05286208307812e-07,2.91898667174038e-05,"Srgap2","14270","SLIT-ROBO Rho GTPase activating protein 2","NM_001081011","ENSMUSG00000026425"
"Slc41a1",4228.09860710613,-0.431653494325118,0.0660289589992887,-6.53733605477209,6.26242311162582e-11,1.91317026060169e-08,"Slc41a1","98396","solute carrier family 41, member 1","NM_173865","ENSMUSG00000013275"
"Cdk18",602.809207546718,0.44277330551481,0.107096966865545,4.13432161968406,3.5600463747135e-05,0.00118349834359378,"Cdk18","18557","cyclin-dependent kinase 18","NM_008795","ENSMUSG00000026437"
"Gm29695",526.56501283375,0.303587562387287,0.0846819331929953,3.58503344149446,0.000337035016073659,0.00647714040109453,"Gm29695","100505034","predicted gene, 29695","XR_004935384",NA
"Nfasc",19814.7864874207,0.140941390011586,0.0500616372210007,2.81535718437235,0.00487230474564672,0.0465403599935926,"Nfasc","269116","neurofascin","NM_001160316","ENSMUSG00000026442"
"Lrrn2",3706.53980950683,-0.230228160976811,0.0879169023702888,-2.61870191930939,0.00882650370664407,0.069494280083991,"Lrrn2","16980","leucine rich repeat protein 2, neuronal","NM_010732","ENSMUSG00000026443"
"Etnk2",180.588444680464,-0.871448332008176,0.190494391013526,-4.57466662074212,4.76978882792449e-06,0.000231550378745189,"Etnk2","214253","ethanolamine kinase 2","NM_175443","ENSMUSG00000070644"
"Sox13",109.640427895857,-0.358235542931363,0.145839127463839,-2.45637469971965,0.0140346735766882,0.0938770785599617,"Sox13","20668","SRY (sex determining region Y)-box 13","NM_011439","ENSMUSG00000070643"
"Zc3h11a",48.7812941464099,0.733343534923258,0.263588467445322,2.78215333937317,0.00539995198525149,0.0496032283450375,"Zc3h11a","70579","zinc finger CCCH type containing 11A","NM_001276767","ENSMUSG00000102976"
"Lax1",17.8067417284989,-1.03252702802976,0.291139681471835,-3.54650050728193,0.000390383990809857,0.00725835669796418,"Lax1","240754","lymphocyte transmembrane adaptor 1","NM_001159649","ENSMUSG00000051998"
"Chil1",96.6915178459045,-0.389655466634844,0.15122262652231,-2.57670082576802,0.00997482429747277,0.0750823754150042,"Chil1","12654","chitinase-like 1","NM_001374626","ENSMUSG00000064246"
"Cyb5r1",3762.11276034821,0.190949465833328,0.0774257037733286,2.46622835218071,0.0136544254583338,0.0922874106389239,"Cyb5r1","72017","cytochrome b5 reductase 1","NM_001355133","ENSMUSG00000026456"
"Rabif",1035.31626427108,-0.245920868493163,0.0679960503286099,-3.61669343005486,0.000298390357390801,0.00592069288085957,"Rabif","98710","RAB interacting factor","NM_145510","ENSMUSG00000042229"
"Gm51748",9.01544411995634,1.78875296766529,0.613574492322425,2.91529877797679,0.00355348173157942,0.0374118495554699,"Gm51748","115487361","predicted gene, 51748","XR_003948727",NA
"Ptprv",29.087745819969,-0.877247257945671,0.266621349161783,-3.29023636218031,0.00100103257627889,0.0146589224951121,"Ptprv","13924","protein tyrosine phosphatase, receptor type, V","NM_007955","ENSMUSG00000097993"
"Gpr37l1",1379.16189512463,-0.307231364001745,0.117063503878515,-2.62448460726564,0.00867802150322822,0.0687068199355232,"Gpr37l1","171469","G protein-coupled receptor 37-like 1","NM_134438","ENSMUSG00000026424"
"Lmod1",31.2656547213842,-1.5007471281076,0.284931700781183,-5.26704162433692,1.38639780485249e-07,1.20299422662285e-05,"Lmod1","93689","leiomodin 1 (smooth muscle)","NM_053106","ENSMUSG00000048096"
"Csrp1",2943.57667190391,-0.57937536673552,0.121147778783432,-4.78238538546574,1.73227160902105e-06,9.93337237548347e-05,"Csrp1","13007","cysteine and glycine-rich protein 1","NM_001360782","ENSMUSG00000026421"
"Igfn1",201.815946056082,0.668846906763872,0.145452630425627,4.59838302550237,4.25782665789852e-06,0.000211328937118498,"Igfn1","226438","immunoglobulin-like and fibronectin type III domain containing 1","NM_177642","ENSMUSG00000051985"
"Kif14",60.8104690499534,0.499990574551392,0.197902042773217,2.52645484374483,0.0115220199539054,0.08272231424767,"Kif14","381293","kinesin family member 14","NM_001081258","ENSMUSG00000041498"
"B3galt2",781.166295200374,1.02114628688082,0.412522130289699,2.47537334824607,0.013309695925911,0.0908103589184509,"B3galt2","26878","UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2","NM_020025","ENSMUSG00000033849"
"Brinp3",2881.74859229823,0.289015576193937,0.0951704707801564,3.036819864657,0.00239088288801167,0.0283751198209502,"Brinp3","215378","bone morphogenetic protein/retinoic acid inducible neural specific 3","NM_001145807","ENSMUSG00000035131"
"Ptgs2os",23.615473058324,0.818038817424388,0.318238060836494,2.57052476776084,0.0101544565384136,0.0758019905374239,"Ptgs2os","320019","prostaglandin-endoperoxide synthase 2, opposite strand","NR_015466","ENSMUSG00000097028"
"Ptgs2os2",7.31898380640178,-2.24516402923563,0.871250697644157,-2.57694373767103,0.00996781735833093,0.0750615196652213,"Ptgs2os2","102639566","prostaglandin-endoperoxide synthase 2, opposite strand 2","NR_110420","ENSMUSG00000097754"
"Niban1",160.621271544302,0.444086718378079,0.156323360294198,2.84082121534693,0.00449975311731234,0.0440260218032343,"Niban1","63913","niban apoptosis regulator 1","NM_022018","ENSMUSG00000026483"
"Colgalt2",382.982178867789,-0.76556148243542,0.128244376817907,-5.96955204922888,2.37905858251422e-09,4.21545390235695e-07,"Colgalt2","269132","collagen beta(1-O)galactosyltransferase 2","NM_177756","ENSMUSG00000032649"
"Nmnat2",9193.74664414817,-0.266948490378434,0.077551747524549,-3.44219825986425,0.000577007187464815,0.00975201484538871,"Nmnat2","226518","nicotinamide nucleotide adenylyltransferase 2","NM_175460","ENSMUSG00000042751"
"Teddm2",14.8712875313239,-0.861028128373122,0.327700377976032,-2.62748591774922,0.00860184021578785,0.0684093387717886,"Teddm2","240817","transmembrane epididymal family member 2","NM_178243","ENSMUSG00000045968"
"Glul",19129.8615007389,-0.800672350356406,0.143041214579739,-5.59749406986523,2.17472288906456e-08,2.5022022643724e-06,"Glul","14645","glutamate-ammonia ligase (glutamine synthetase)","NM_008131","ENSMUSG00000026473"
"Tdrd5",34.6783023887712,0.532027117658527,0.212121972584251,2.5081188486837,0.0121375835241885,0.0856494792772189,"Tdrd5","214575","tudor domain containing 5","NM_001134741","ENSMUSG00000060985"
"Abl2",6054.02734962743,-0.178738233142716,0.0489857075624199,-3.64878332960607,0.000263485205929838,0.00539110203680232,"Abl2","11352","v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)","NM_001136104","ENSMUSG00000026596"
"Tor3a",628.934267685471,0.217580823968632,0.0870486302532329,2.49953185174388,0.0124357519451956,0.0869227174425726,"Tor3a","30935","torsin family 3, member A","NM_023141","ENSMUSG00000060519"
"Fam20b",2944.49662886425,0.236638229086365,0.0563958947603989,4.19601870121461,2.71647826911479e-05,0.000976334248487727,"Fam20b","215015","FAM20B, glycosaminoglycan xylosylkinase","NM_145413","ENSMUSG00000033557"
"Rasal2",4216.62687526681,0.516630473241755,0.19069068415736,2.70925910998057,0.00674336534863778,0.0576668390987031,"Rasal2","226525","RAS protein activator like 2","NM_177644","ENSMUSG00000070565"
"Sec16b",109.742517401566,0.738890672145145,0.254713886164332,2.90086529349421,0.00372133814097685,0.0386574017451301,"Sec16b","89867","SEC16 homolog B (S. cerevisiae)","NM_001159986","ENSMUSG00000026589"
"Astn1",15518.4581211955,-0.169502692451016,0.062974032624709,-2.69162836468105,0.00711041293482062,0.0597106193327424,"Astn1","11899","astrotactin 1","NM_001205204","ENSMUSG00000026587"
"Pappa2",413.440314245311,0.325920138189856,0.0984973403235871,3.30892323710601,0.000936555113200113,0.0139804718203815,"Pappa2","23850","pappalysin 2","NM_001085376","ENSMUSG00000073530"
"Cop1",3567.48378240616,0.40006464868271,0.101078116345195,3.95797491235826,7.55878945491039e-05,0.0020959967191167,"Cop1","26374","COP1, E3 ubiquitin ligase","NM_001360878","ENSMUSG00000040782"
"Ankrd45",1245.9346059971,0.317211028223608,0.114514184498359,2.77005883256456,0.00560461681598625,0.0507192060073853,"Ankrd45","73844","ankyrin repeat domain 45","NM_001368766","ENSMUSG00000044835"
"Prdx6",5128.05127567192,-0.559498259509453,0.101010400720407,-5.5390163341508,3.04175276436144e-08,3.24679621877834e-06,"Prdx6","11758","peroxiredoxin 6","NM_001303408","ENSMUSG00000026701"
"Fmo1",61.7369014195662,-0.974503666477158,0.229944875266494,-4.23798819324744,2.25531626399726e-05,0.000839536741213601,"Fmo1","14261","flavin containing monooxygenase 1","NM_001330291","ENSMUSG00000040181"
"Scyl3",809.751502291553,0.340720334264832,0.132455091801687,2.57234606560056,0.0101011865024176,0.0754883693109819,"Scyl3","240880","SCY1-like 3 (S. cerevisiae)","NM_001286002","ENSMUSG00000026584"
"Slc19a2",543.862761500131,0.253616061625188,0.0760755966157073,3.3337373994754,0.000856875139959582,0.0131340576167334,"Slc19a2","116914","solute carrier family 19 (thiamine transporter), member 2","NM_001276455","ENSMUSG00000040918"
