"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0009150","BP","GO:0009150","purine ribonucleotide metabolic process",4,-0.802961992919466,-1.71022316875216,0.0110245379504002,0.0110245379504002,0.854051855684472,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0009259","BP","GO:0009259","ribonucleotide metabolic process",4,-0.802961992919466,-1.71022316875216,0.0110245379504002,0.0110245379504002,0.854051855684472,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0019693","BP","GO:0019693","ribose phosphate metabolic process",4,-0.802961992919466,-1.71022316875216,0.0110245379504002,0.0110245379504002,0.854051855684472,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0055086","BP","GO:0055086","nucleobase-containing small molecule metabolic process",4,-0.802961992919466,-1.71022316875216,0.0110245379504002,0.0110245379504002,0.854051855684472,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0072521","BP","GO:0072521","purine-containing compound metabolic process",4,-0.802961992919466,-1.71022316875216,0.0110245379504002,0.0110245379504002,0.854051855684472,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0003824","MF","GO:0003824","catalytic activity",24,-0.448210871872161,-1.78578433568567,0.0125130422286884,0.0125130422286884,0.854051855684472,171,"tags=25%, list=6%, signal=24%","ENSMUSG00000057457/ENSMUSG00000020051/ENSMUSG00000021228/ENSMUSG00000092021/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0007519","BP","GO:0007519","skeletal muscle tissue development",3,-0.851474195810601,-1.64224724611233,0.0135562448964428,0.0135562448964428,0.854051855684472,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000025013/ENSMUSG00000037868"
"GO:0060538","BP","GO:0060538","skeletal muscle organ development",3,-0.851474195810601,-1.64224724611233,0.0135562448964428,0.0135562448964428,0.854051855684472,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000025013/ENSMUSG00000037868"
"GO:0032787","BP","GO:0032787","monocarboxylic acid metabolic process",5,-0.764091928522687,-1.77503159500085,0.0153690433054314,0.0153690433054314,0.854051855684472,39,"tags=40%, list=1%, signal=40%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0006082","BP","GO:0006082","organic acid metabolic process",8,-0.653784362195509,-1.77863542562789,0.0172670014946001,0.0172670014946001,0.854051855684472,164,"tags=38%, list=6%, signal=35%","ENSMUSG00000020051/ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0019752","BP","GO:0019752","carboxylic acid metabolic process",8,-0.653784362195509,-1.77863542562789,0.0172670014946001,0.0172670014946001,0.854051855684472,164,"tags=38%, list=6%, signal=35%","ENSMUSG00000020051/ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0043436","BP","GO:0043436","oxoacid metabolic process",8,-0.653784362195509,-1.77863542562789,0.0172670014946001,0.0172670014946001,0.854051855684472,164,"tags=38%, list=6%, signal=35%","ENSMUSG00000020051/ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0016740","MF","GO:0016740","transferase activity",9,-0.619761574371652,-1.76171824221417,0.0175521908780489,0.0175521908780489,0.854051855684472,15,"tags=44%, list=1%, signal=44%","ENSMUSG00000021457/ENSMUSG00000063704/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0048736","BP","GO:0048736","appendage development",3,0.870920425375871,1.63305160713371,0.0175768904441128,0.0175768904441128,0.854051855684472,355,"tags=100%, list=13%, signal=87%","ENSMUSG00000026638/ENSMUSG00000020758/ENSMUSG00000000126"
"GO:0060173","BP","GO:0060173","limb development",3,0.870920425375871,1.63305160713371,0.0175768904441128,0.0175768904441128,0.854051855684472,355,"tags=100%, list=13%, signal=87%","ENSMUSG00000026638/ENSMUSG00000020758/ENSMUSG00000000126"
"GO:0071310","BP","GO:0071310","cellular response to organic substance",23,-0.426634669368727,-1.66525904569589,0.0193576460817235,0.0193576460817235,0.85674435209475,66,"tags=26%, list=2%, signal=26%","ENSMUSG00000037161/ENSMUSG00000032089/ENSMUSG00000022146/ENSMUSG00000092021/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0044092","BP","GO:0044092","negative regulation of molecular function",9,0.651231165012863,1.74030105543468,0.0194214079257741,0.0194214079257741,0.85674435209475,958,"tags=100%, list=35%, signal=65%","ENSMUSG00000018822/ENSMUSG00000000126/ENSMUSG00000007805/ENSMUSG00000023951/ENSMUSG00000079243/ENSMUSG00000051998/ENSMUSG00000055177/ENSMUSG00000067780/ENSMUSG00000032715"
"GO:0034613","BP","GO:0034613","cellular protein localization",14,-0.506982376828045,-1.7053059911521,0.0242349691905843,0.0242349691905843,0.85674435209475,227,"tags=50%, list=8%, signal=46%","ENSMUSG00000021457/ENSMUSG00000057606/ENSMUSG00000063704/ENSMUSG00000037161/ENSMUSG00000032089/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0070727","BP","GO:0070727","cellular macromolecule localization",14,-0.506982376828045,-1.7053059911521,0.0242349691905843,0.0242349691905843,0.85674435209475,227,"tags=50%, list=8%, signal=46%","ENSMUSG00000021457/ENSMUSG00000057606/ENSMUSG00000063704/ENSMUSG00000037161/ENSMUSG00000032089/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0007417","BP","GO:0007417","central nervous system development",4,-0.771409059415523,-1.64301879495068,0.0251567255153642,0.0251567255153642,0.85674435209475,4,"tags=75%, list=0%, signal=75%","ENSMUSG00000034486/ENSMUSG00000034394/ENSMUSG00000037868"
"GO:0070887","BP","GO:0070887","cellular response to chemical stimulus",29,-0.375771574983351,-1.59190195003012,0.0256532815842597,0.0256532815842597,0.85674435209475,66,"tags=17%, list=2%, signal=17%","ENSMUSG00000032089/ENSMUSG00000022146/ENSMUSG00000092021/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0051248","BP","GO:0051248","negative regulation of protein metabolic process",11,0.617785175879628,1.7589436401902,0.0299234095340729,0.0299234095340729,0.85674435209475,958,"tags=91%, list=35%, signal=59%","ENSMUSG00000018822/ENSMUSG00000000126/ENSMUSG00000024486/ENSMUSG00000023951/ENSMUSG00000022876/ENSMUSG00000051998/ENSMUSG00000055177/ENSMUSG00000035692/ENSMUSG00000067780/ENSMUSG00000032715"
"GO:0006886","BP","GO:0006886","intracellular protein transport",4,-0.756117153280098,-1.6104486703398,0.0314874738585158,0.0314874738585158,0.85674435209475,227,"tags=75%, list=8%, signal=69%","ENSMUSG00000021457/ENSMUSG00000037161/ENSMUSG00000037868"
"GO:0009790","BP","GO:0009790","embryo development",20,0.485050694280949,1.61777062006961,0.0316642617074629,0.0316642617074629,0.85674435209475,510,"tags=45%, list=19%, signal=37%","ENSMUSG00000032332/ENSMUSG00000110206/ENSMUSG00000018822/ENSMUSG00000000126/ENSMUSG00000007805/ENSMUSG00000015957/ENSMUSG00000024486/ENSMUSG00000023951/ENSMUSG00000024912"
"GO:0014013","BP","GO:0014013","regulation of gliogenesis",3,-0.820619860258085,-1.58273816428571,0.0325304611379377,0.0325304611379377,0.85674435209475,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000034394/ENSMUSG00000037868"
"GO:0014015","BP","GO:0014015","positive regulation of gliogenesis",3,-0.820619860258085,-1.58273816428571,0.0325304611379377,0.0325304611379377,0.85674435209475,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000034394/ENSMUSG00000037868"
"GO:0045685","BP","GO:0045685","regulation of glial cell differentiation",3,-0.820619860258085,-1.58273816428571,0.0325304611379377,0.0325304611379377,0.85674435209475,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000034394/ENSMUSG00000037868"
"GO:0045687","BP","GO:0045687","positive regulation of glial cell differentiation",3,-0.820619860258085,-1.58273816428571,0.0325304611379377,0.0325304611379377,0.85674435209475,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000034394/ENSMUSG00000037868"
"GO:0065009","BP","GO:0065009","regulation of molecular function",22,0.464745031769885,1.59436529362674,0.0338043132350846,0.0338043132350846,0.85674435209475,722,"tags=55%, list=26%, signal=40%","ENSMUSG00000028464/ENSMUSG00000018822/ENSMUSG00000041378/ENSMUSG00000000126/ENSMUSG00000007805/ENSMUSG00000015957/ENSMUSG00000024486/ENSMUSG00000023951/ENSMUSG00000024912/ENSMUSG00000079243/ENSMUSG00000051998/ENSMUSG00000055177"
"GO:0043086","BP","GO:0043086","negative regulation of catalytic activity",7,0.650752846125597,1.60168341736155,0.033949242926779,0.033949242926779,0.85674435209475,958,"tags=100%, list=35%, signal=65%","ENSMUSG00000018822/ENSMUSG00000000126/ENSMUSG00000023951/ENSMUSG00000051998/ENSMUSG00000055177/ENSMUSG00000067780/ENSMUSG00000032715"
"GO:0001655","BP","GO:0001655","urogenital system development",4,0.762971845280926,1.56749907508875,0.0339843658126656,0.0339843658126656,0.85674435209475,457,"tags=75%, list=17%, signal=63%","ENSMUSG00000019913/ENSMUSG00000015957/ENSMUSG00000023951"
"GO:0001822","BP","GO:0001822","kidney development",4,0.762971845280926,1.56749907508875,0.0339843658126656,0.0339843658126656,0.85674435209475,457,"tags=75%, list=17%, signal=63%","ENSMUSG00000019913/ENSMUSG00000015957/ENSMUSG00000023951"
"GO:0072001","BP","GO:0072001","renal system development",4,0.762971845280926,1.56749907508875,0.0339843658126656,0.0339843658126656,0.85674435209475,457,"tags=75%, list=17%, signal=63%","ENSMUSG00000019913/ENSMUSG00000015957/ENSMUSG00000023951"
"GO:0051641","BP","GO:0051641","cellular localization",21,-0.421027323728184,-1.61030792372651,0.0343527691286974,0.0343527691286974,0.85674435209475,227,"tags=24%, list=8%, signal=22%","ENSMUSG00000037161/ENSMUSG00000032034/ENSMUSG00000032089/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0007622","BP","GO:0007622","rhythmic behavior",3,-0.817266099459474,-1.57626973052373,0.0355125250745014,0.0355125250745014,0.85674435209475,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000032360/ENSMUSG00000037868"
"GO:0007517","BP","GO:0007517","muscle organ development",5,-0.722794789933653,-1.67909585344631,0.036580044696371,0.036580044696371,0.85674435209475,4,"tags=80%, list=0%, signal=80%","ENSMUSG00000068697/ENSMUSG00000034394/ENSMUSG00000025013/ENSMUSG00000037868"
"GO:0046982","MF","GO:0046982","protein heterodimerization activity",4,0.753939209612274,1.5489418397939,0.038334277109061,0.038334277109061,0.85674435209475,171,"tags=50%, list=6%, signal=47%","ENSMUSG00000028464/ENSMUSG00000019913"
"GO:0051172","BP","GO:0051172","negative regulation of nitrogen compound metabolic process",20,0.460094031972663,1.53453363982532,0.0390015600624025,0.0390015600624025,0.85674435209475,857,"tags=65%, list=31%, signal=45%","ENSMUSG00000040613/ENSMUSG00000018822/ENSMUSG00000000126/ENSMUSG00000007805/ENSMUSG00000015957/ENSMUSG00000024486/ENSMUSG00000023951/ENSMUSG00000022876/ENSMUSG00000051998/ENSMUSG00000055177/ENSMUSG00000035692/ENSMUSG00000067780/ENSMUSG00000041565"
"GO:0032269","BP","GO:0032269","negative regulation of cellular protein metabolic process",10,0.613097493048691,1.70354124090092,0.0390800675889467,0.0390800675889467,0.85674435209475,958,"tags=90%, list=35%, signal=59%","ENSMUSG00000018822/ENSMUSG00000000126/ENSMUSG00000023951/ENSMUSG00000022876/ENSMUSG00000051998/ENSMUSG00000055177/ENSMUSG00000035692/ENSMUSG00000067780/ENSMUSG00000032715"
"GO:0001649","BP","GO:0001649","osteoblast differentiation",3,0.833516685001834,1.56291633811155,0.0391612809062182,0.0391612809062182,0.85674435209475,457,"tags=100%, list=17%, signal=83%","ENSMUSG00000007805/ENSMUSG00000015957/ENSMUSG00000023951"
"GO:0010629","BP","GO:0010629","negative regulation of gene expression",9,0.591162918507113,1.57977920327485,0.0418760469011725,0.0418760469011725,0.85674435209475,457,"tags=56%, list=17%, signal=46%","ENSMUSG00000040613/ENSMUSG00000041378/ENSMUSG00000007805/ENSMUSG00000015957/ENSMUSG00000023951"
"GO:0045444","BP","GO:0045444","fat cell differentiation",5,-0.714561283573468,-1.65996892201121,0.0419494515500091,0.0419494515500091,0.85674435209475,77,"tags=40%, list=3%, signal=39%","ENSMUSG00000029322/ENSMUSG00000037868"
"GO:0005741","CC","GO:0005741","mitochondrial outer membrane",3,-0.811033361990111,-1.56424858414588,0.0428139713073687,0.0428139713073687,0.85674435209475,227,"tags=67%, list=8%, signal=61%","ENSMUSG00000037161/ENSMUSG00000000628"
"GO:0019867","CC","GO:0019867","outer membrane",3,-0.811033361990111,-1.56424858414588,0.0428139713073687,0.0428139713073687,0.85674435209475,227,"tags=67%, list=8%, signal=61%","ENSMUSG00000037161/ENSMUSG00000000628"
"GO:0031968","CC","GO:0031968","organelle outer membrane",3,-0.811033361990111,-1.56424858414588,0.0428139713073687,0.0428139713073687,0.85674435209475,227,"tags=67%, list=8%, signal=61%","ENSMUSG00000037161/ENSMUSG00000000628"
"GO:0098588","CC","GO:0098588","bounding membrane of organelle",3,-0.811033361990111,-1.56424858414588,0.0428139713073687,0.0428139713073687,0.85674435209475,227,"tags=67%, list=8%, signal=61%","ENSMUSG00000037161/ENSMUSG00000000628"
"GO:0140297","MF","GO:0140297","DNA-binding transcription factor binding",3,-0.811118327111001,-1.56441245726908,0.0428139713073687,0.0428139713073687,0.85674435209475,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000037621/ENSMUSG00000037868"
"GO:0045216","BP","GO:0045216","cell-cell junction organization",4,0.747248716067498,1.53519645389507,0.0437716777245701,0.0437716777245701,0.85674435209475,693,"tags=100%, list=25%, signal=75%","ENSMUSG00000041378/ENSMUSG00000015957/ENSMUSG00000023951/ENSMUSG00000040055"
"GO:0046907","BP","GO:0046907","intracellular transport",5,-0.709559338278392,-1.64834910166787,0.0453053387376868,0.0453053387376868,0.85674435209475,664,"tags=80%, list=24%, signal=61%","ENSMUSG00000021457/ENSMUSG00000063704/ENSMUSG00000037161/ENSMUSG00000037868"
"GO:0005125","MF","GO:0005125","cytokine activity",8,0.629427509634657,1.61210463713403,0.0484904115808775,0.0484904115808775,0.85674435209475,715,"tags=75%, list=26%, signal=56%","ENSMUSG00000110206/ENSMUSG00000000126/ENSMUSG00000015957/ENSMUSG00000023951/ENSMUSG00000038508/ENSMUSG00000024399"
"GO:0010605","BP","GO:0010605","negative regulation of macromolecule metabolic process",22,0.449440598011912,1.54186154134477,0.04893796575496,0.04893796575496,0.85674435209475,857,"tags=64%, list=31%, signal=44%","ENSMUSG00000040613/ENSMUSG00000018822/ENSMUSG00000041378/ENSMUSG00000000126/ENSMUSG00000007805/ENSMUSG00000015957/ENSMUSG00000024486/ENSMUSG00000023951/ENSMUSG00000022876/ENSMUSG00000051998/ENSMUSG00000055177/ENSMUSG00000035692/ENSMUSG00000067780/ENSMUSG00000041565"
