"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0008076","GO:0008076","voltage-gated potassium channel complex",3,0.838539736953571,1.49376178757302,0.0315199124500832,0.0315199124500832,0.41896515834405,2,"tags=33%, list=0%, signal=33%","ENSMUSG00000032034"
"GO:0034703","GO:0034703","cation channel complex",3,0.838539736953571,1.49376178757302,0.0315199124500832,0.0315199124500832,0.41896515834405,2,"tags=33%, list=0%, signal=33%","ENSMUSG00000032034"
"GO:0034705","GO:0034705","potassium channel complex",3,0.838539736953571,1.49376178757302,0.0315199124500832,0.0315199124500832,0.41896515834405,2,"tags=33%, list=0%, signal=33%","ENSMUSG00000032034"
"GO:0009897","GO:0009897","external side of plasma membrane",14,0.576985762100181,1.59912347441174,0.031830112974941,0.031830112974941,0.41896515834405,65,"tags=14%, list=1%, signal=14%","ENSMUSG00000032034/ENSMUSG00000053216"
"GO:0032280","GO:0032280","symmetric synapse",3,-0.79157192277985,-1.54345341161358,0.0320816911904915,0.0320816911904915,0.41896515834405,338,"tags=67%, list=6%, signal=63%","ENSMUSG00000045573/ENSMUSG00000045613"
"GO:0019867","GO:0019867","outer membrane",4,-0.748466880475704,-1.60478507308387,0.0329856832925229,0.0329856832925229,0.41896515834405,733,"tags=100%, list=13%, signal=87%","ENSMUSG00000117975/ENSMUSG00000037161/ENSMUSG00000032487"
"GO:0031968","GO:0031968","organelle outer membrane",4,-0.748466880475704,-1.60478507308387,0.0329856832925229,0.0329856832925229,0.41896515834405,733,"tags=100%, list=13%, signal=87%","ENSMUSG00000117975/ENSMUSG00000037161/ENSMUSG00000032487"
"GO:0031967","GO:0031967","organelle envelope",15,-0.46081020141941,-1.5910244358735,0.0355038549676531,0.0355038549676531,0.41896515834405,733,"tags=40%, list=13%, signal=35%","ENSMUSG00000117975/ENSMUSG00000020715/ENSMUSG00000009876/ENSMUSG00000037161/ENSMUSG00000032487/ENSMUSG00000052504"
"GO:0031975","GO:0031975","envelope",15,-0.46081020141941,-1.5910244358735,0.0355038549676531,0.0355038549676531,0.41896515834405,733,"tags=40%, list=13%, signal=35%","ENSMUSG00000117975/ENSMUSG00000020715/ENSMUSG00000009876/ENSMUSG00000037161/ENSMUSG00000032487/ENSMUSG00000052504"
"GO:0000785","GO:0000785","chromatin",16,0.545394722047322,1.55649685281502,0.0411764705882353,0.0411764705882353,0.461609907120743,941,"tags=31%, list=17%, signal=26%","ENSMUSG00000029026/ENSMUSG00000079036/ENSMUSG00000008855/ENSMUSG00000026826/ENSMUSG00000052565"
