"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0007519","GO:0007519","skeletal muscle tissue development",3,-0.851474195810601,-1.62132492117205,0.0145459073507869,0.0145459073507869,0.677486833690205,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000025013/ENSMUSG00000037868"
"GO:0060538","GO:0060538","skeletal muscle organ development",3,-0.851474195810601,-1.62132492117205,0.0145459073507869,0.0145459073507869,0.677486833690205,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000025013/ENSMUSG00000037868"
"GO:0006163","GO:0006163","purine nucleotide metabolic process",4,-0.802961992919466,-1.69989695304151,0.0146275566364931,0.0146275566364931,0.677486833690205,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process",4,-0.802961992919466,-1.69989695304151,0.0146275566364931,0.0146275566364931,0.677486833690205,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0009117","GO:0009117","nucleotide metabolic process",4,-0.802961992919466,-1.69989695304151,0.0146275566364931,0.0146275566364931,0.677486833690205,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process",4,-0.802961992919466,-1.69989695304151,0.0146275566364931,0.0146275566364931,0.677486833690205,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0009259","GO:0009259","ribonucleotide metabolic process",4,-0.802961992919466,-1.69989695304151,0.0146275566364931,0.0146275566364931,0.677486833690205,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0019693","GO:0019693","ribose phosphate metabolic process",4,-0.802961992919466,-1.69989695304151,0.0146275566364931,0.0146275566364931,0.677486833690205,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process",4,-0.802961992919466,-1.69989695304151,0.0146275566364931,0.0146275566364931,0.677486833690205,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0072521","GO:0072521","purine-containing compound metabolic process",4,-0.802961992919466,-1.69989695304151,0.0146275566364931,0.0146275566364931,0.677486833690205,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0044092","GO:0044092","negative regulation of molecular function",9,0.651231165012863,1.70376482803277,0.0158973852616441,0.0158973852616441,0.702831769462158,958,"tags=100%, list=35%, signal=65%","ENSMUSG00000018822/ENSMUSG00000000126/ENSMUSG00000007805/ENSMUSG00000023951/ENSMUSG00000079243/ENSMUSG00000051998/ENSMUSG00000055177/ENSMUSG00000067780/ENSMUSG00000032715"
"GO:0071310","GO:0071310","cellular response to organic substance",23,-0.426634669368727,-1.69077487977991,0.016839303293609,0.016839303293609,0.71210600655811,66,"tags=26%, list=2%, signal=26%","ENSMUSG00000037161/ENSMUSG00000032089/ENSMUSG00000022146/ENSMUSG00000092021/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0007517","GO:0007517","muscle organ development",5,-0.722794789933653,-1.69169116985519,0.0245170646471957,0.0245170646471957,0.743170021998844,4,"tags=80%, list=0%, signal=80%","ENSMUSG00000068697/ENSMUSG00000034394/ENSMUSG00000025013/ENSMUSG00000037868"
"GO:0009790","GO:0009790","embryo development",20,0.485050694280949,1.58704357229495,0.0248258855844894,0.0248258855844894,0.743170021998844,510,"tags=45%, list=19%, signal=37%","ENSMUSG00000032332/ENSMUSG00000110206/ENSMUSG00000018822/ENSMUSG00000000126/ENSMUSG00000007805/ENSMUSG00000015957/ENSMUSG00000024486/ENSMUSG00000023951/ENSMUSG00000024912"
"GO:0001649","GO:0001649","osteoblast differentiation",3,0.833516685001834,1.50602052219052,0.0259887422104294,0.0259887422104294,0.743170021998844,457,"tags=100%, list=17%, signal=83%","ENSMUSG00000007805/ENSMUSG00000015957/ENSMUSG00000023951"
"GO:0051641","GO:0051641","cellular localization",21,-0.421027323728184,-1.60438729290257,0.0268247761193632,0.0268247761193632,0.743170021998844,227,"tags=24%, list=8%, signal=22%","ENSMUSG00000037161/ENSMUSG00000032034/ENSMUSG00000032089/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0014013","GO:0014013","regulation of gliogenesis",3,-0.820619860258085,-1.56257398849126,0.0272755752617371,0.0272755752617371,0.743170021998844,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000034394/ENSMUSG00000037868"
"GO:0014015","GO:0014015","positive regulation of gliogenesis",3,-0.820619860258085,-1.56257398849126,0.0272755752617371,0.0272755752617371,0.743170021998844,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000034394/ENSMUSG00000037868"
"GO:0045685","GO:0045685","regulation of glial cell differentiation",3,-0.820619860258085,-1.56257398849126,0.0272755752617371,0.0272755752617371,0.743170021998844,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000034394/ENSMUSG00000037868"
"GO:0045687","GO:0045687","positive regulation of glial cell differentiation",3,-0.820619860258085,-1.56257398849126,0.0272755752617371,0.0272755752617371,0.743170021998844,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000034394/ENSMUSG00000037868"
"GO:0045444","GO:0045444","fat cell differentiation",5,-0.714561283573468,-1.67242076254117,0.0273803232777965,0.0273803232777965,0.743170021998844,77,"tags=40%, list=3%, signal=39%","ENSMUSG00000029322/ENSMUSG00000037868"
"GO:0034613","GO:0034613","cellular protein localization",14,-0.506982376828045,-1.68788633019382,0.0280759804812613,0.0280759804812613,0.743170021998844,227,"tags=50%, list=8%, signal=46%","ENSMUSG00000021457/ENSMUSG00000057606/ENSMUSG00000063704/ENSMUSG00000037161/ENSMUSG00000032089/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0070727","GO:0070727","cellular macromolecule localization",14,-0.506982376828045,-1.68788633019382,0.0280759804812613,0.0280759804812613,0.743170021998844,227,"tags=50%, list=8%, signal=46%","ENSMUSG00000021457/ENSMUSG00000057606/ENSMUSG00000063704/ENSMUSG00000037161/ENSMUSG00000032089/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0070887","GO:0070887","cellular response to chemical stimulus",29,-0.375771574983351,-1.58220616891767,0.028164165784012,0.028164165784012,0.743170021998844,66,"tags=17%, list=2%, signal=17%","ENSMUSG00000032089/ENSMUSG00000022146/ENSMUSG00000092021/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0007417","GO:0007417","central nervous system development",4,-0.771409059415523,-1.63309835485648,0.0300954191618712,0.0300954191618712,0.743170021998844,4,"tags=75%, list=0%, signal=75%","ENSMUSG00000034486/ENSMUSG00000034394/ENSMUSG00000037868"
"GO:0046907","GO:0046907","intracellular transport",5,-0.709559338278392,-1.66071377902991,0.0302435862185661,0.0302435862185661,0.743170021998844,664,"tags=80%, list=24%, signal=61%","ENSMUSG00000021457/ENSMUSG00000063704/ENSMUSG00000037161/ENSMUSG00000037868"
"GO:0032269","GO:0032269","negative regulation of cellular protein metabolic process",10,0.613097493048691,1.65561197033813,0.0305582996656977,0.0305582996656977,0.743170021998844,958,"tags=90%, list=35%, signal=59%","ENSMUSG00000018822/ENSMUSG00000000126/ENSMUSG00000023951/ENSMUSG00000022876/ENSMUSG00000051998/ENSMUSG00000055177/ENSMUSG00000035692/ENSMUSG00000067780/ENSMUSG00000032715"
"GO:0007622","GO:0007622","rhythmic behavior",3,-0.817266099459474,-1.55618796294968,0.0308687243722131,0.0308687243722131,0.743170021998844,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000032360/ENSMUSG00000037868"
"GO:0065009","GO:0065009","regulation of molecular function",22,0.464745031769885,1.55542458335834,0.0310203004617039,0.0310203004617039,0.743170021998844,722,"tags=55%, list=26%, signal=40%","ENSMUSG00000028464/ENSMUSG00000018822/ENSMUSG00000041378/ENSMUSG00000000126/ENSMUSG00000007805/ENSMUSG00000015957/ENSMUSG00000024486/ENSMUSG00000023951/ENSMUSG00000024912/ENSMUSG00000079243/ENSMUSG00000051998/ENSMUSG00000055177"
"GO:0001655","GO:0001655","urogenital system development",4,0.762971845280926,1.53802459363139,0.0328555145007065,0.0328555145007065,0.743170021998844,457,"tags=75%, list=17%, signal=63%","ENSMUSG00000019913/ENSMUSG00000015957/ENSMUSG00000023951"
"GO:0001822","GO:0001822","kidney development",4,0.762971845280926,1.53802459363139,0.0328555145007065,0.0328555145007065,0.743170021998844,457,"tags=75%, list=17%, signal=63%","ENSMUSG00000019913/ENSMUSG00000015957/ENSMUSG00000023951"
"GO:0072001","GO:0072001","renal system development",4,0.762971845280926,1.53802459363139,0.0328555145007065,0.0328555145007065,0.743170021998844,457,"tags=75%, list=17%, signal=63%","ENSMUSG00000019913/ENSMUSG00000015957/ENSMUSG00000023951"
"GO:0043086","GO:0043086","negative regulation of catalytic activity",7,0.650752846125597,1.568463281809,0.0353009583388842,0.0353009583388842,0.753833355686665,958,"tags=100%, list=35%, signal=65%","ENSMUSG00000018822/ENSMUSG00000000126/ENSMUSG00000023951/ENSMUSG00000051998/ENSMUSG00000055177/ENSMUSG00000067780/ENSMUSG00000032715"
"GO:0051607","GO:0051607","defense response to virus",3,0.80974235990597,1.46306442768172,0.0356520753717611,0.0356520753717611,0.753833355686665,104,"tags=67%, list=4%, signal=64%","ENSMUSG00000026896/ENSMUSG00000040613"
"GO:0140546","GO:0140546","defense response to symbiont",3,0.80974235990597,1.46306442768172,0.0356520753717611,0.0356520753717611,0.753833355686665,104,"tags=67%, list=4%, signal=64%","ENSMUSG00000026896/ENSMUSG00000040613"
"GO:0070588","GO:0070588","calcium ion transmembrane transport",3,0.805913879985758,1.45614702646783,0.0367575442718251,0.0367575442718251,0.760671240921979,286,"tags=67%, list=10%, signal=60%","ENSMUSG00000036251/ENSMUSG00000032769"
"GO:0006886","GO:0006886","intracellular protein transport",4,-0.756117153280098,-1.60072488652918,0.0402091149212249,0.0402091149212249,0.814763644456398,227,"tags=75%, list=8%, signal=69%","ENSMUSG00000021457/ENSMUSG00000037161/ENSMUSG00000037868"
"GO:0010605","GO:0010605","negative regulation of macromolecule metabolic process",22,0.449440598011912,1.5042031804939,0.0436746987951807,0.0436746987951807,0.818713450292398,857,"tags=64%, list=31%, signal=44%","ENSMUSG00000040613/ENSMUSG00000018822/ENSMUSG00000041378/ENSMUSG00000000126/ENSMUSG00000007805/ENSMUSG00000015957/ENSMUSG00000024486/ENSMUSG00000023951/ENSMUSG00000022876/ENSMUSG00000051998/ENSMUSG00000055177/ENSMUSG00000035692/ENSMUSG00000067780/ENSMUSG00000041565"
"GO:0010629","GO:0010629","negative regulation of gene expression",9,0.591162918507113,1.54661300364783,0.0444810543657331,0.0444810543657331,0.818713450292398,457,"tags=56%, list=17%, signal=46%","ENSMUSG00000040613/ENSMUSG00000041378/ENSMUSG00000007805/ENSMUSG00000015957/ENSMUSG00000023951"
"GO:1901652","GO:1901652","response to peptide",5,-0.683330531414047,-1.59932562075012,0.0456795253573895,0.0456795253573895,0.818713450292398,227,"tags=40%, list=8%, signal=37%","ENSMUSG00000037161/ENSMUSG00000037868"
"GO:0008104","GO:0008104","protein localization",19,-0.42661921914861,-1.5714916956712,0.0458324041559804,0.0458324041559804,0.818713450292398,66,"tags=32%, list=2%, signal=31%","ENSMUSG00000021647/ENSMUSG00000037161/ENSMUSG00000032089/ENSMUSG00000017607/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0033036","GO:0033036","macromolecule localization",19,-0.42661921914861,-1.5714916956712,0.0458324041559804,0.0458324041559804,0.818713450292398,66,"tags=32%, list=2%, signal=31%","ENSMUSG00000021647/ENSMUSG00000037161/ENSMUSG00000032089/ENSMUSG00000017607/ENSMUSG00000000628/ENSMUSG00000037868"
"GO:0045216","GO:0045216","cell-cell junction organization",4,0.747248716067498,1.50632937503496,0.0459974800032528,0.0459974800032528,0.818713450292398,693,"tags=100%, list=25%, signal=75%","ENSMUSG00000041378/ENSMUSG00000015957/ENSMUSG00000023951/ENSMUSG00000040055"
"GO:0051172","GO:0051172","negative regulation of nitrogen compound metabolic process",20,0.460094031972663,1.50538754959609,0.0462962962962963,0.0462962962962963,0.818713450292398,857,"tags=65%, list=31%, signal=45%","ENSMUSG00000040613/ENSMUSG00000018822/ENSMUSG00000000126/ENSMUSG00000007805/ENSMUSG00000015957/ENSMUSG00000024486/ENSMUSG00000023951/ENSMUSG00000022876/ENSMUSG00000051998/ENSMUSG00000055177/ENSMUSG00000035692/ENSMUSG00000067780/ENSMUSG00000041565"
"GO:0048483","GO:0048483","autonomic nervous system development",3,-0.796681276441887,-1.51699160594845,0.0489118068698699,0.0489118068698699,0.844646204855678,4,"tags=67%, list=0%, signal=67%","ENSMUSG00000026193/ENSMUSG00000037868"
